NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO
1302,6783.021,784.9485,215.1195547,52.9356097,0.998,F444W,0.45159,6.363499e-05,7096.567470192107,0.0,0.0,0.0,7096.567470192107,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F606W,0.09848171,0.03963024,2.485014221463206,0.005955286349135063,0.002563910232193691,2.322735903292409,0.16227831817079696,1.0698651611406929
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F814W,0.09989875,0.02418077,4.131330391877512,0.0,0.0,0.0,4.131330391877512,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F115W,0.4927086,0.05344182,9.219532568314477,0.0,0.0,0.0,9.219532568314477,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F150W,1.247607,0.0002428264,5137.855686202159,0.0,0.0,0.0,5137.855686202159,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F200W,0.8814117,0.0001723018,5115.510691124527,0.0,0.0,0.0,5115.510691124527,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F277W,0.6956775,0.0001265753,5496.1552530391,0.0,0.0,0.0,5496.1552530391,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F356W,0.7724237,0.04769059,16.196564143995705,0.0,0.0,0.0,16.196564143995705,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F410M,1.012507,0.0001761552,5747.812156552858,0.0,0.0,0.0,5747.812156552858,
7384,3873.677,2549.1699,215.1271637,52.9635902,1.0,F444W,1.158963,0.0001048243,11056.243638164051,0.0,0.0,0.0,11056.243638164051,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F606W,5.576825,0.08157527,68.36416232517526,0.07912422469013898,0.002928776555973126,27.016135638196157,41.3480266869791,2.53049374791116
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F814W,5.457528,0.04977394,109.64629281909367,0.0,0.0,0.0,109.64629281909367,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F115W,48.47942,0.1100052,440.70116685393054,0.0,0.0,0.0,440.70116685393054,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F150W,48.46933,0.0004998363,96970.40811161573,0.0,0.0,0.0,96970.40811161573,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F200W,53.08661,0.0003546677,149679.8552560608,0.0,0.0,0.0,149679.8552560608,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F277W,51.7878,0.0002605439,198768.0387067208,0.0,0.0,0.0,198768.0387067208,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F356W,44.82868,0.09816678,456.65835224502626,0.0,0.0,0.0,456.65835224502626,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F410M,36.45519,0.0003625997,100538.38985525913,0.0,0.0,0.0,100538.38985525913,
10896,2622.0945,3381.0298,215.1296734,52.9760219,0.818,F444W,32.1133,0.0002157714,148830.19714382908,0.0,0.0,0.0,148830.19714382908,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F606W,0.01990693,0.007504315,2.6527311286906268,0.0036189708114601504,0.003182254901059199,1.1372347357389858,1.515496392951641,2.332615286295188
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F814W,-0.01769318,0.00457883,-3.8641268621023275,0.0,0.0,0.0,-3.8641268621023275,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F115W,-0.05372542,0.01011965,-5.309019580716725,0.0,0.0,0.0,-5.309019580716725,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F150W,-5.800965e-09,4.59812e-05,-0.000126159495619949,0.0,0.0,0.0,-0.000126159495619949,
16761,1064.6295,5426.0439,215.1221735,52.9969618,0.019,F200W,8.451452e-10,3.262678e-05,2.5903420441735286e-05,0.0,0.0,0.0,2.5903420441735286e-05,
