NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F277W,2.088493,0.05184781,40.28121920675145,0.0,0.0,0.0,40.28121920675145,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F356W,4.716681,0.05457012,86.43339981660294,0.0,0.0,0.0,86.43339981660294,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F410M,0.06887884,0.1205205,0.5715114026244498,0.0,0.0,0.0,0.5715114026244498,,nircam1
41,1435.9208,132.9424,215.0419875,52.9898555,0.055,F444W,0.0009188381,0.0964867,0.009522950831565387,0.0,0.0,0.0,0.009522950831565387,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F606W,0.2716597,0.03564983,7.620224275964289,0.012436120943147864,0.002546858815526078,4.882925141878768,2.7372991340855215,1.5605859304720593,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F814W,0.2263223,0.02873264,7.876836239203916,0.0,0.0,0.0,7.876836239203916,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F115W,1.129915,0.06773377,16.681708400403522,0.0,0.0,0.0,16.681708400403522,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F150W,1.621185,0.08026893,20.19691803540922,0.0,0.0,0.0,20.19691803540922,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F200W,1.71962,0.06371216,26.990452058131442,0.0,0.0,0.0,26.990452058131442,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F277W,1.883976,0.05292503,35.59707004417381,0.0,0.0,0.0,35.59707004417381,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F356W,1.567402,0.0557039,28.138101640998205,0.0,0.0,0.0,28.138101640998205,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F410M,1.358684,0.1230245,11.044011558673272,0.0,0.0,0.0,11.044011558673272,,nircam1
1459,6594.1323,630.2546,214.9904356,52.9598355,0.0,F444W,1.781329,0.09849136,18.086144815139114,0.0,0.0,0.0,18.086144815139114,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F606W,0.007669632,0.02488296,0.30822828152277704,-0.0031212770007226485,0.002578087478785045,-1.2106947597424382,1.5189230412652153,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F814W,0.04948815,0.02005488,2.467636305976401,0.0,0.0,0.0,2.467636305976401,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F115W,-0.007389914,0.04727698,-0.1563110418643492,0.0,0.0,0.0,-0.1563110418643492,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F150W,0.9254199,0.05602631,16.517595037045986,0.0,0.0,0.0,16.517595037045986,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F200W,2.15458,0.04446997,48.4502238252016,0.0,0.0,0.0,48.4502238252016,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F277W,-0.002825689,0.03694074,-0.07649248499082585,0.0,0.0,0.0,-0.07649248499082585,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F356W,-0.0007589196,0.03888034,-0.0195193663429898,0.0,0.0,0.0,-0.0195193663429898,,nircam1
2749,10441.8848,1166.3248,214.9502887,52.9383193,0.332,F410M,0.0005654843,0.08586895,0.006585433966526899,0.0,0.0,0.0,0.006585433966526899,,nircam1
