NUMBER,X_IMAGE,Y_IMAGE,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,CLASS_STAR,FLUX_AUTO,FLUXERR_AUTO,FLUX_APER,FLUXERR_APER,ALPHA_J2000,DELTA_J2000,SNR,pointing
11057,3736.8074,4579.1553,30.0024,0.0784,29.9946,0.1239,0.713,0.1712582,0.01236662,0.1724962,0.01968661,214.7936916,52.8721923,13.848424225859612,nircam3
11100,4267.2793,4566.0474,30.7369,0.1208,30.4871,0.1951,0.472,0.08706257,0.009681598,0.1095866,0.01968661,214.7890955,52.8687489,8.992582629437827,nircam3
11107,795.012,4544.9478,28.7124,0.0414,28.7191,0.0383,0.234,0.5618637,0.02141962,0.5584451,0.0196816,214.8203191,52.8907087,26.231263673211753,nircam3
11127,1803.606,4562.2827,30.4513,0.1127,29.8982,0.1133,0.622,0.1132607,0.01175301,0.1885109,0.01966154,214.8111282,52.8843913,9.636739864936727,nircam3
11140,6183.7998,4563.0234,29.2015,0.0911,29.4226,0.0731,0.247,0.3580924,0.03004663,0.2921132,0.01966154,214.7720296,52.8565457,11.917888961257884,nircam3
11187,6220.5737,4666.8442,30.4009,0.0932,32.3993,1.1353,0.712,0.1186438,0.01017841,0.0188311,0.01968661,214.7706082,52.8568709,11.656417849153256,nircam3
11235,7576.6079,4647.3755,28.7414,0.0952,29.9159,0.1152,0.094,0.5470885,0.04794719,0.1854632,0.0196816,214.7587218,52.8481416,11.410230714250407,nircam3
11331,3135.0569,4548.7241,26.7816,0.0252,28.0511,0.0207,0.0,3.326208,0.07703765,1.033148,0.01969162,214.7993833,52.8758541,43.17639491858851,nircam3
11391,5971.9868,4663.2578,30.1872,0.0668,29.8226,0.1057,0.799,0.1444494,0.008884444,0.2021025,0.01967157,214.7728631,52.8584325,16.258687656762763,nircam3
11420,8274.7285,4391.895,29.6724,0.0429,29.3159,0.0664,0.744,0.2320894,0.009157876,0.3222805,0.01971166,214.7551892,52.8423256,25.34314725379553,nircam3
11427,8110.5063,3925.5027,29.964,0.1137,29.803,0.1041,0.687,0.1774288,0.01858315,0.2057902,0.01973167,214.7615643,52.8408591,9.547832310453288,nircam3
11484,2955.5935,4284.207,30.0538,0.1191,29.8984,0.1132,0.371,0.1633352,0.01790717,0.1884732,0.01964145,214.8037716,52.8755698,9.121217925557193,nircam3
11518,9232.9072,4665.7314,27.3334,0.0175,27.4799,0.0122,0.108,2.000944,0.03218696,1.748501,0.01971666,214.7437661,52.8377045,62.166293430631534,nircam3
11532,8437.8535,4082.9255,28.19,0.0442,29.0259,0.0508,0.086,0.9090994,0.03703332,0.4209542,0.01968661,214.7569888,52.8396245,24.54814745207829,nircam3
11535,10217.1436,4631.252,29.0246,0.067,29.5801,0.0847,0.477,0.4214563,0.02599744,0.2526723,0.01969663,214.7353602,52.8312573,16.21145389699909,nircam3
