ID_mine	X_IMAGE_mine	Y_IMAGE_mine	MAG_AUTO_mine	MAGERR_AUTO_mine	MAG_APER_mine	MAGERR_APER_mine	CLASS_STAR_mine	FLUX_AUTO_mine	FLUXERR_AUTO_mine	FLUX_APER_mine	FLUXERR_APER_mine	RA_mine	DEC_mine	ID_romeo	X_IMAGE_romeo	Y_IMAGE_romeo	MAG_AUTO_romeo	MAGERR_AUTO_romeo	MAG_APER_romeo	MAGERR_APER_romeo	CLASS_STAR_romeo	FLUX_AUTO_romeo	FLUXERR_AUTO_romeo	FLUX_APER_romeo	FLUXERR_APER_romeo	RA_romeo	DEC_romeo
1941.0	6938.0474	1174.145	21.6564	0.0005	23.2769	0.0003	0.029	373.3011	0.1748481	83.9156	0.02403975	214.8531698	52.8150865	1949.0	6938.0474	1174.145	21.6559	0.0005	23.2769	0.0003	0.029	373.4724	0.1748901	83.9156	0.02403975	214.8531698	52.8150865
1943.0	348.7673	1023.4483	25.3045	0.0104	28.2607	0.0306	0.0	12.96596	0.1245841	0.8517877	0.02403975	214.913601	52.8561232	1932.0	348.7673	1023.4483	25.303	0.0105	28.2607	0.0306	0.0	12.98414	0.1258466	0.8517877	0.02403975	214.913601	52.8561232
1944.0	8094.5557	992.6915	26.9817	0.0225	27.7162	0.0185	0.0	2.766368	0.05726458	1.406431	0.02402139	214.8447604	52.8067599	1917.0	8094.5557	992.6915	26.9769	0.0222	27.6954	0.0182	0.0	2.778719	0.05668385	1.43367	0.02402139	214.8447604	52.8067599
1964.0	6306.4141	1009.5026	27.606	0.0422	28.2848	0.0313	0.0	1.556765	0.06045007	0.8331134	0.02399076	214.8605366	52.8182115	1953.0	6306.4141	1009.5026	27.6316	0.0416	28.2848	0.0313	0.0	1.520365	0.05821959	0.8331134	0.02399076	214.8605366	52.8182115
1982.0	9419.5049	1004.8509	28.4236	0.0671	28.8051	0.0506	0.0	0.7331073	0.04529192	0.5159236	0.02405198	214.8328175	52.798406	1971.0	9419.5049	1004.8509	28.4446	0.07	28.8133	0.051	0.0	0.7190915	0.0463351	0.5120045	0.02405198	214.8328175	52.798406
1986.0	4120.5049	1110.684	25.0521	0.0097	26.7363	0.0075	0.001	16.35871	0.1467	3.467916	0.02408863	214.8789857	52.8326426	1979.0	4120.5049	1110.684	25.0589	0.0098	26.7363	0.0075	0.001	16.25659	0.1461225	3.467916	0.02408863	214.8789857	52.8326426
2013.0	7566.833	1031.4363	28.8721	0.106	29.4394	0.0907	0.569	0.4850381	0.0473553	0.2876521	0.02403363	214.8490604	52.8103219	2002.0	7566.833	1031.4363	28.9291	0.108	29.4394	0.0907	0.569	0.460227	0.04577634	0.2876521	0.02403363	214.8490604	52.8103219
2014.0	4508.2681	1028.6506	26.1117	0.0094	26.7282	0.0075	0.017	6.164894	0.05348025	3.494015	0.02402139	214.8763858	52.8297372	2003.0	4508.2681	1028.6506	26.112	0.0094	26.7282	0.0075	0.018	6.163222	0.05334259	3.494015	0.02402139	214.8763858	52.8297372
2015.0	2581.2175	1061.4104	26.2205	0.0143	27.079	0.0103	0.001	5.576863	0.0734126	2.529317	0.02401527	214.8932518	52.8421528	2004.0	2581.2175	1061.4104	26.2116	0.0144	27.079	0.0103	0.001	5.623239	0.07435798	2.529317	0.02401527	214.8932518	52.8421528
2022.0	9836.0244	1023.2905	29.8246	0.1011	29.4334	0.0901	0.266	0.2017321	0.01878621	0.2892328	0.02400914	214.8289104	52.7958584	2011.0	9836.0244	1023.2905	29.8158	0.1003	29.4044	0.0878	0.213	0.2033628	0.01878621	0.2970724	0.02400914	214.8289104	52.7958584
2025.0	6264.7241	1038.1124	28.8935	0.1533	28.7791	0.0495	0.0	0.4755594	0.06713498	0.5284013	0.02407031	214.8606078	52.8186307	2014.0	6264.7241	1038.1124	28.9119	0.1549	28.7886	0.0499	0.0	0.4675745	0.06669547	0.5237841	0.02407031	214.8606078	52.8186307
2038.0	348.8961	1047.4816	25.7865	0.0122	28.3267	0.0326	0.0	8.317844	0.09306605	0.8015777	0.02407642	214.9133472	52.8562522	2027.0	348.8961	1047.4816	25.8713	0.0128	28.3267	0.0326	0.0	7.692542	0.09074603	0.8015777	0.02407642	214.9133472	52.8562522
