pointing	ID	f606w_FLUX	f606w_FLUXERR	f606w_SNR	f814w_FLUX	f814w_FLUXERR	f814w_SNR	f115w_FLUX	f115w_FLUXERR	f115w_SNR	f150w_FLUX	f150w_FLUXERR	f150w_SNR	f200w_FLUX	f200w_FLUXERR	f200w_SNR	f277w_FLUX	f277w_FLUXERR	f277w_SNR	f356w_FLUX	f356w_FLUXERR	f356w_SNR	f410m_FLUX	f410m_FLUXERR	f410m_SNR	f444w_FLUX	f444w_FLUXERR	f444w_SNR
nircam8	8954	9.855e-02	3.621e-02	2.72	1.512e-02	2.194e-02	0.69	1.282e-02	4.835e-02	0.27	1.638e+00	2.068e-04	7921.75	1.032e+00	1.584e-04	6513.41	1.274e+00	1.024e-04	12441.59	1.313e+00	4.323e-02	30.37	4.464e-01	1.414e-04	3157.49	2.123e+00	8.550e-05	24836.32
nircam8	9454	9.855e-02	2.856e-02	3.45	9.466e-02	1.730e-02	5.47	1.392e-01	3.814e-02	3.65	1.050e+00	1.631e-04	6435.61	1.049e+00	1.250e-04	8395.85	8.163e-01	8.077e-05	10106.00	6.980e-01	3.410e-02	20.47	6.111e-01	1.115e-04	5479.31	8.479e-01	6.744e-05	12571.94
nircam8	11712	1.138e-01	2.582e-02	4.41	3.939e-02	1.564e-02	2.52	3.649e-02	3.448e-02	1.06	7.345e-01	1.475e-04	4980.92	8.017e-01	1.130e-04	7097.78	8.859e-01	7.301e-05	12132.84	9.951e-01	3.083e-02	32.28	1.509e+00	1.008e-04	14964.63	1.728e+00	6.097e-05	28346.71
nircam8	14604	4.303e-02	2.954e-02	1.46	-2.812e-03	1.790e-02	-0.16	6.179e-01	3.946e-02	15.66	1.218e+00	1.687e-04	7215.27	9.891e-01	1.293e-04	7651.60	7.259e-01	8.355e-05	8687.35	5.152e-01	3.527e-02	14.61	8.489e-01	1.154e-04	7357.71	9.987e-01	6.977e-05	14315.44
nircam9	2646	1.352e-02	2.297e-02	0.59	2.040e-02	1.368e-02	1.49	1.295e-03	2.505e-02	0.05	5.039e-01	1.079e-04	4670.39	6.793e-01	1.063e-04	6387.53	4.657e-01	6.028e-05	7726.35	4.042e-01	2.682e-02	15.07	4.612e-01	9.231e-05	4995.48	3.096e-01	4.316e-05	7173.00
nircam9	3096	1.023e-01	3.876e-02	2.64	9.306e-02	2.309e-02	4.03	5.354e-01	4.227e-02	12.67	2.004e+00	1.821e-04	11009.25	9.077e-01	1.795e-04	5057.75	1.117e+00	1.017e-04	10977.08	1.046e+00	4.525e-02	23.12	1.091e+00	1.558e-04	7001.54	1.795e+00	7.283e-05	24640.78
nircam9	5572	8.837e-02	2.466e-02	3.58	9.175e-03	1.469e-02	0.62	8.275e-02	2.689e-02	3.08	3.411e-01	1.158e-04	2944.88	4.047e-01	1.142e-04	3544.63	8.486e-01	6.471e-05	13114.35	1.300e+00	2.879e-02	45.17	2.023e+00	9.910e-05	20418.84	3.062e+00	4.633e-05	66089.27
nircam9	9061	-8.051e-02	2.696e-02	-2.99	1.006e-02	1.606e-02	0.63	2.009e-01	2.940e-02	6.83	3.676e-01	1.266e-04	2902.89	5.241e-01	1.248e-04	4198.86	5.848e-01	7.075e-05	8266.56	4.358e-01	3.147e-02	13.85	1.127e+00	1.083e-04	10404.91	6.536e-01	5.065e-05	12903.30
nircam9	8076	1.872e-02	7.706e-03	2.43	-3.953e-03	4.590e-03	-0.86	2.592e-02	8.405e-03	3.08	3.056e-03	3.620e-05	84.40	3.130e-02	3.568e-05	877.13	-2.804e-02	2.023e-05	-1386.37	-5.292e-03	8.998e-03	-0.59	7.712e-01	3.097e-05	24899.22	3.241e-02	1.448e-05	2238.06
nircam10	1424	-1.198e-01	4.151e-02	-2.89	1.721e-03	2.824e-02	0.06	4.933e-01	5.316e-02	9.28	1.552e+00	6.472e-02	23.99	1.329e+00	5.499e-02	24.17	8.071e-01	4.948e-02	16.31	6.590e-01	4.963e-02	13.28	1.259e+00	1.110e-01	11.34	8.776e-01	9.181e-02	9.56
nircam10	1935	-9.518e-02	3.350e-02	-2.84	-2.644e-02	2.279e-02	-1.16	3.651e-01	4.290e-02	8.51	9.619e-01	5.223e-02	18.42	1.017e+00	4.438e-02	22.93	5.805e-01	3.993e-02	14.54	7.855e-01	4.005e-02	19.61	4.701e-01	8.961e-02	5.25	1.208e+00	7.410e-02	16.30
nircam10	7847	2.141e-01	4.465e-02	4.79	1.313e-01	3.038e-02	4.32	2.366e+00	5.719e-02	41.38	4.469e+00	6.962e-02	64.19	2.751e+00	5.915e-02	46.51	1.880e+00	5.322e-02	35.32	1.850e+00	5.338e-02	34.67	1.858e+00	1.194e-01	15.55	1.713e+00	9.876e-02	17.34
nircam10	9562	8.373e-02	2.451e-02	3.42	1.178e-02	1.668e-02	0.71	3.569e-01	3.139e-02	11.37	1.487e+00	3.822e-02	38.90	1.407e+00	3.247e-02	43.32	1.003e+00	2.922e-02	34.33	9.069e-01	2.931e-02	30.95	1.021e+00	6.557e-02	15.57	7.044e-01	5.422e-02	12.99
nircam10	10415	2.169e-02	1.913e-02	1.13	5.730e-02	1.302e-02	4.40	3.769e-01	2.451e-02	15.38	9.783e-01	2.983e-02	32.79	7.622e-01	2.535e-02	30.07	5.547e-01	2.281e-02	24.32	6.029e-01	2.287e-02	26.36	4.193e-01	5.118e-02	8.19	5.345e-01	4.232e-02	12.63
