combo_index,num_sources,veto_snr,star_cut,color1_min,color2_max,color2_min,color3_intercept,color3_slope,snr_threshold,recovered_ids
100,8,2,0.8,0.2,0.5,-0.5,0.3,0.6,2,"3206,11659,12779,6802,1843,2034,8216,9562"
101,8,2,0.8,0.2,0.5,-0.5,0.3,0.6,3,"3206,11659,12779,6802,1843,2034,8216,9562"
102,8,2,0.8,0.2,0.5,-0.5,0.3,0.6,4,"3206,11659,12779,6802,1843,2034,8216,9562"
103,8,2,0.8,0.2,0.5,-0.5,0.3,0.6,5,"3206,11659,12779,6802,1843,2034,8216,9562"
104,8,2,0.8,0.2,0.5,-0.5,0.3,0.6,6,"3206,11659,12779,6802,1843,2034,8216,9562"
105,7,2,0.8,0.2,0.5,-0.5,0.65,0.3,2,"11659,12779,6802,1843,2034,8216,9562"
106,7,2,0.8,0.2,0.5,-0.5,0.65,0.3,3,"11659,12779,6802,1843,2034,8216,9562"
107,7,2,0.8,0.2,0.5,-0.5,0.65,0.3,4,"11659,12779,6802,1843,2034,8216,9562"
108,7,2,0.8,0.2,0.5,-0.5,0.65,0.3,5,"11659,12779,6802,1843,2034,8216,9562"
109,7,2,0.8,0.2,0.5,-0.5,0.65,0.3,6,"11659,12779,6802,1843,2034,8216,9562"
110,6,2,0.8,0.2,0.5,-0.5,0.65,0.44,2,"11659,12779,6802,1843,8216,9562"
111,6,2,0.8,0.2,0.5,-0.5,0.65,0.44,3,"11659,12779,6802,1843,8216,9562"
112,6,2,0.8,0.2,0.5,-0.5,0.65,0.44,4,"11659,12779,6802,1843,8216,9562"
113,6,2,0.8,0.2,0.5,-0.5,0.65,0.44,5,"11659,12779,6802,1843,8216,9562"
114,6,2,0.8,0.2,0.5,-0.5,0.65,0.44,6,"11659,12779,6802,1843,8216,9562"
115,6,2,0.8,0.2,0.5,-0.5,0.65,0.6,2,"11659,12779,6802,1843,8216,9562"
116,6,2,0.8,0.2,0.5,-0.5,0.65,0.6,3,"11659,12779,6802,1843,8216,9562"
117,6,2,0.8,0.2,0.5,-0.5,0.65,0.6,4,"11659,12779,6802,1843,8216,9562"
118,6,2,0.8,0.2,0.5,-0.5,0.65,0.6,5,"11659,12779,6802,1843,8216,9562"
119,6,2,0.8,0.2,0.5,-0.5,0.65,0.6,6,"11659,12779,6802,1843,8216,9562"
120,4,2,0.8,0.2,0.5,-0.5,1.0,0.3,2,"8216,9562,11659,12779"
121,4,2,0.8,0.2,0.5,-0.5,1.0,0.3,3,"8216,9562,11659,12779"
122,4,2,0.8,0.2,0.5,-0.5,1.0,0.3,4,"8216,9562,11659,12779"
123,4,2,0.8,0.2,0.5,-0.5,1.0,0.3,5,"8216,9562,11659,12779"
124,4,2,0.8,0.2,0.5,-0.5,1.0,0.3,6,"8216,9562,11659,12779"
125,4,2,0.8,0.2,0.5,-0.5,1.0,0.44,2,"8216,9562,11659,12779"
126,4,2,0.8,0.2,0.5,-0.5,1.0,0.44,3,"8216,9562,11659,12779"
127,4,2,0.8,0.2,0.5,-0.5,1.0,0.44,4,"8216,9562,11659,12779"
128,4,2,0.8,0.2,0.5,-0.5,1.0,0.44,5,"8216,9562,11659,12779"
129,4,2,0.8,0.2,0.5,-0.5,1.0,0.44,6,"8216,9562,11659,12779"
130,4,2,0.8,0.2,0.5,-0.5,1.0,0.6,2,"8216,9562,11659,12779"
131,4,2,0.8,0.2,0.5,-0.5,1.0,0.6,3,"8216,9562,11659,12779"
132,4,2,0.8,0.2,0.5,-0.5,1.0,0.6,4,"8216,9562,11659,12779"
133,4,2,0.8,0.2,0.5,-0.5,1.0,0.6,5,"8216,9562,11659,12779"
134,4,2,0.8,0.2,0.5,-0.5,1.0,0.6,6,"8216,9562,11659,12779"
135,14,2,0.8,0.2,1.0,-1.5,0.3,0.3,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
136,14,2,0.8,0.2,1.0,-1.5,0.3,0.3,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
137,14,2,0.8,0.2,1.0,-1.5,0.3,0.3,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
138,14,2,0.8,0.2,1.0,-1.5,0.3,0.3,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
139,14,2,0.8,0.2,1.0,-1.5,0.3,0.3,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
140,14,2,0.8,0.2,1.0,-1.5,0.3,0.44,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
141,14,2,0.8,0.2,1.0,-1.5,0.3,0.44,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
142,14,2,0.8,0.2,1.0,-1.5,0.3,0.44,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
143,14,2,0.8,0.2,1.0,-1.5,0.3,0.44,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
144,14,2,0.8,0.2,1.0,-1.5,0.3,0.44,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,9427,8216,9562,5726,11615"
145,12,2,0.8,0.2,1.0,-1.5,0.3,0.6,2,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
146,12,2,0.8,0.2,1.0,-1.5,0.3,0.6,3,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
147,12,2,0.8,0.2,1.0,-1.5,0.3,0.6,4,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
148,12,2,0.8,0.2,1.0,-1.5,0.3,0.6,5,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
149,12,2,0.8,0.2,1.0,-1.5,0.3,0.6,6,"3206,4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
150,11,2,0.8,0.2,1.0,-1.5,0.65,0.3,2,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
151,11,2,0.8,0.2,1.0,-1.5,0.65,0.3,3,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
152,11,2,0.8,0.2,1.0,-1.5,0.65,0.3,4,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
153,11,2,0.8,0.2,1.0,-1.5,0.65,0.3,5,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
154,11,2,0.8,0.2,1.0,-1.5,0.65,0.3,6,"4010,11659,12779,1935,1424,2034,6802,1843,8216,9562,5726"
155,10,2,0.8,0.2,1.0,-1.5,0.65,0.44,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
156,10,2,0.8,0.2,1.0,-1.5,0.65,0.44,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
157,10,2,0.8,0.2,1.0,-1.5,0.65,0.44,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
158,10,2,0.8,0.2,1.0,-1.5,0.65,0.44,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
159,10,2,0.8,0.2,1.0,-1.5,0.65,0.44,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
160,10,2,0.8,0.2,1.0,-1.5,0.65,0.6,2,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
161,10,2,0.8,0.2,1.0,-1.5,0.65,0.6,3,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
162,10,2,0.8,0.2,1.0,-1.5,0.65,0.6,4,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
163,10,2,0.8,0.2,1.0,-1.5,0.65,0.6,5,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
164,10,2,0.8,0.2,1.0,-1.5,0.65,0.6,6,"4010,11659,12779,1935,1424,6802,1843,8216,9562,5726"
