source_number	filter	x_image	y_image	nmad_flux_error	redshift_bin	pointing
12315	F410M	3074.6379	3783.8662	0.0030586525236505663	z7-8	nircam7
12905	F410M	3169.3682	3929.7971	0.0033855075042578996	z7-8	nircam7
13770	F410M	4689.7471	4225.3452	0.0030307072640493654	z7-8	nircam7
13889	F410M	10283.1572	4281.4468	0.003061892434387399	z7-8	nircam7
14498	F410M	10104.6582	4501.1499	0.0028248236999043174	z7-8	nircam7
14526	F410M	3957.8804	4510.4092	0.00288812435201441	z7-8	nircam7
958	F444W	10277.0078	678.4905	0.0019854547299782742	z7-8	nircam7
998	F444W	689.4515	692.9848	0.0021948964328397267	z7-8	nircam7
1359	F444W	10364.5273	822.081	0.002063785736836606	z7-8	nircam7
1843	F444W	3334.6228	1008.3906	0.0029746583137766095	z7-8	nircam7
2308	F444W	2381.7744	1199.5356	0.003002579534346539	z7-8	nircam7
2820	F444W	4191.3369	1370.4683	0.0025736475956273834	z7-8	nircam7
4316	F444W	2933.6445	1716.5439	0.004043415216999283	z7-8	nircam7
6714	F444W	1988.8589	2385.3889	0.0028604251375906604	z7-8	nircam7
8044	F444W	4031.7251	2714.7156	0.00316645697153148	z7-8	nircam7
8191	F444W	4029.9971	2761.7026	0.0030079981172386576	z7-8	nircam7
8243	F444W	721.7584	2775.0002	0.002607949486102368	z7-8	nircam7
9004	F444W	9744.3789	2976.4863	0.0021530083386917254	z7-8	nircam7
9657	F444W	10838.999	3153.0935	0.002319568284730407	z7-8	nircam7
11711	F444W	4261.9868	3654.02	0.0029928037230772925	z7-8	nircam7
12315	F444W	3074.6379	3783.8662	0.0023165074338097266	z7-8	nircam7
12905	F444W	3169.3682	3929.7971	0.0030277884827020073	z7-8	nircam7
13770	F444W	4689.7471	4225.3452	0.002232035570784739	z7-8	nircam7
13889	F444W	10283.1572	4281.4468	0.002201847840871815	z7-8	nircam7
14498	F444W	10104.6582	4501.1499	0.0019350408897648953	z7-8	nircam7
14526	F444W	3957.8804	4510.4092	0.002148623050938034	z7-8	nircam7
