NUMBER,X_IMAGE,Y_IMAGE,ALPHA_J2000,DELTA_J2000,CLASS_STAR,FILTER,SEX_FLUX,SEX_FLUXERR,SEX_SNR,NMAD_FLUX,NMAD_FLUXERR,NMAD_SNR,SNR_DIFF,SNR_RATIO,pointing
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F606W,0.09855289,0.03620506,2.7220750359203936,-0.0005974810831214754,0.002874143859851198,-0.20788141173713154,2.929956447657525,,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F814W,0.01511897,0.02193596,0.6892322013716291,-0.004195034866701173,0.0028228589657094006,-1.4860943878742225,2.1753265892458518,,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F115W,0.01281601,0.04835361,0.26504763553331384,0.005303090227386913,0.0019191812657886897,2.763204456983693,-2.498156821450379,0.09592038506721257,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F150W,1.638179,0.0002067952,7921.745765859169,0.020737162378558837,0.001961780572133721,10.57058198716086,7911.175183872008,749.4143440239151,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F200W,1.031771,0.0001584072,6513.409744001536,0.01811835992441004,0.001906840660980754,9.501769232826796,6503.907974768709,685.4944152399482,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F277W,1.273928,0.0001023927,12441.590074292406,0.01944645836547272,0.0018926624988892687,10.27465719687747,12431.315417095528,1210.9007469439935,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F356W,1.31296,0.0432289,30.372274103666758,0.019622868535478403,0.0016220402860466427,12.09764560367654,18.274628499990218,2.510593804668609,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F410M,0.4464407,0.0001413908,3157.4946884804385,0.010457534450535452,0.0031722771903727794,3.2965386764662172,3154.1981498039722,957.8212174550218,nircam8
8954,7877.9414,2968.9441,214.9941994,52.8764717,0.993,F444W,2.12344,8.549736e-05,24836.32243147625,0.045452691570379525,0.00235616104433359,19.29099527372724,24817.03143620252,1287.4567682519362,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F606W,0.0985546,0.02856017,3.4507707762243713,0.0023985391226294074,0.0027237830117443525,0.8805911162113262,2.570179660013045,3.9186981479793257,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F814W,0.09466106,0.01730407,5.470450593415306,0.0031985994679629387,0.004062119742449389,0.7874212654386791,4.683029327976627,6.947298521799092,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F115W,0.1391508,0.03814349,3.648087786408637,0.0046568605703517394,0.001335332334366043,3.4874169152524956,0.16067087115614154,1.0460715982805022,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F150W,1.049836,0.0001631293,6435.606601634409,0.017784276475451475,0.0020898004913021467,8.510035550987052,6427.096566083423,756.2373345065479,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F200W,1.049135,0.0001249587,8395.853990158348,0.016825525477903426,0.001730118922876586,9.725068754192012,8386.128921404155,863.3207849085177,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F277W,0.8162817,8.077195e-05,10106.004621653929,0.01813899650387999,0.0015604378726625534,11.624299064806518,10094.380322589122,869.3861509680746,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F356W,0.6980169,0.03410089,20.46916957299355,0.014722638856687037,0.0011339709692081243,12.98325905730035,7.485910515693201,1.5765817721617403,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F410M,0.6111374,0.0001115354,5479.31329425456,0.014477665698653174,0.002680316693742054,5.40147577801359,5473.911818476547,1014.4104166046255,nircam8
9454,8978.2744,3107.9836,214.982886,52.8702434,0.997,F444W,0.847904,6.744415e-05,12571.942859388102,0.01964249121930454,0.0023639990628770893,8.309009731754623,12563.633849656348,1513.0494806549314,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F606W,0.1138498,0.02581689,4.4098960021908145,0.005769131588524213,0.0036620387108572236,1.5753879311597319,2.834508071031083,2.7992445003336046,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F814W,0.03938834,0.01564196,2.51812049129393,0.00016817775816159485,0.0042155497909476996,0.03989462027532754,2.4782258710186027,63.11929964279516,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F115W,0.0364918,0.0344797,1.0583560761839574,0.0038034926457286276,0.002692599683585156,1.4125726408258112,-0.3542165646418538,0.7492401067354855,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F150W,0.7344884,0.0001474603,4980.9230009704315,0.018564608370019,0.0030033666819390538,6.1812660044670915,4974.7417349659645,805.8095214428253,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F200W,0.8017372,0.0001129561,7097.776923955413,0.015656467162648995,0.0031185164171037313,5.020485727373425,7092.756438228039,1413.7629921455361,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F277W,0.885862,7.301358e-05,12132.83884997832,0.020186805460181808,0.0021630102481184446,9.33273685491868,12123.506113123402,1300.030102486377,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F356W,0.9951382,0.03082541,32.28304830333157,0.024113683652957487,0.0017967586096719267,13.420658469732029,18.86238983359954,2.405474245257071,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F410M,1.508765,0.0001008221,14964.625811206075,0.0358036735677409,0.003481253301566023,10.284707967568693,14954.341103238507,1455.0365317512965,nircam8
11712,8255.791,3633.8535,214.9838275,52.8776683,0.969,F444W,1.728184,6.096595e-05,28346.70828552659,0.042991189302027256,0.0025895259302414855,16.60195358538778,28330.106331941202,1707.4320886233513,nircam8
14604,9364.9355,4539.0454,214.9643826,52.8755223,0.997,F606W,0.0430273,0.02954341,1.4564093989150202,0.0007954570869502476,0.002550532660310945,0.31187880842634275,1.1445305904886776,4.669792751433397,nircam8
