pointing,source_id,filter,x_image,y_image,flux_ujy,sex_snr,nmad_snr,local_rms_snr,weighted_rms_snr,global_stats_snr,sex_flux,nmad_flux,nmad_error,local_rms_error,weighted_rms_error,global_stats_error
nircam2,2034,F410M,9175.8096,2432.2783,0.082162891243995,86.96114952380057,0,66.83240789935007,27.24063112895511,60.375444548798484,3.884038,,,0.058116086522714834,0.14258253574371338,0.06433141865913258
nircam2,2034,F444W,9175.8096,2432.2783,0.1266093016552614,167.8168348257546,0,106.94849818055123,47.30321072461071,61.854563772012256,5.985127,,,0.055962702626229176,0.1265268623828888,0.09676128380858666
nircam2,5726,F606W,1711.5001,3781.1777,0.000591885118233974,0.4804401086677093,0,0.553213462988154,0.2880315755868873,0.025040408285088796,0.006484995,,,0.011722409944565765,0.02251487411558628,0.2589812005526173
nircam2,5726,F814W,1711.5001,3781.1777,0.004652317292375872,3.0322457546269797,0,3.187467467613555,1.7603615510286075,0.055287487795388876,0.03051264,,,0.009572690642343937,0.017333166673779488,0.5518905129660249
nircam2,5726,F115W,1711.5001,3781.1777,0.005363661219629395,10.427199286740041,0,10.163398579627787,2.5397408134327724,0.12378188415897107,0.2535532,,,0.02494767847718178,0.09983428567647934,2.0483869810413107
nircam2,5726,F150W,1711.5001,3781.1777,0.01585328476311212,26.007309863387732,0,22.282834384198548,6.56448880721548,0.6024440648619965,0.749423,,,0.03363230130774742,0.11416319012641907,1.2439710899495247
nircam2,5726,F200W,1711.5001,3781.1777,0.014899178580966432,30.6131229753559,0,28.295159873392233,8.903473400014082,1.3183528576621457,0.7043201,,,0.02489189328321547,0.07910621911287308,0.5342424798539757
nircam2,5726,F277W,1711.5001,3781.1777,0.00914149261344418,23.117296069517657,0,22.25433792260151,5.642371204027354,23.63344657045424,0.4321404,,,0.01941825461188482,0.07658843696117401,0.018285119722666596
nircam2,5726,F356W,1711.5001,3781.1777,0.008513441302002689,19.97477163941163,0,20.25761019479353,5.576283624892174,21.898901492383956,0.4024509,,,0.01986665239039081,0.0721718892455101,0.018377675251882622
nircam2,5726,F410M,1711.5001,3781.1777,0.010398473126807799,11.008544393873873,0,11.797485308753522,3.3652089985829967,7.641070417000936,0.4915609,,,0.0416665829314719,0.1460714340209961,0.06433141865913258
nircam2,5726,F444W,1711.5001,3781.1777,0.006671455726331185,8.84507148117796,0,7.454289938815632,2.9151299763395504,3.2593180617970816,0.3153758,,,0.042307959924900405,0.10818585008382797,0.09676128380858666
nircam2,11316,F606W,2599.3152,5542.1743,0.0009963045134721653,0.8083000923367871,0,0.7469356579206178,0.3895264861843286,0.04214985480300216,0.01091602,,,0.014614404713772714,0.028023820370435715,0.2589812005526173
nircam2,11316,F814W,2599.3152,5542.1743,-0.0003709007779396163,-0.24161921363548325,0,-0.2315527963758213,-0.1266931083781895,-0.004407732952187482,-0.002432586,,,0.010505534971176926,0.01920061744749546,0.5518905129660249
nircam2,11316,F115W,2599.3152,5542.1743,0.004751386552054356,9.23220184044339,0,9.73787684198976,2.511980543766407,0.10965188808504256,0.2246095,,,0.02306555152058229,0.0894153043627739,2.0483869810413107
nircam2,11316,F150W,2599.3152,5542.1743,0.010914296188444124,17.89577722242552,0,20.652711317358857,4.873588752764724,0.4147565037230367,0.5159451,,,0.02498195476960654,0.10586553812026978,1.2439710899495247
nircam2,11316,F200W,2599.3152,5542.1743,0.014884216365618158,30.566782817749093,0,29.1999233412744,8.56644074207896,1.317028927000186,0.7036128,,,0.02409639202735289,0.08213596045970917,0.5342424798539757
nircam2,11316,F277W,2599.3152,5542.1743,0.011588966657505471,29.291612909434946,0,25.102927386543993,7.67809013197424,29.9608866832241,0.5478384,,,0.021823685802224792,0.07135087251663208,0.018285119722666596
nircam2,11316,F356W,2599.3152,5542.1743,0.023057423279105323,54.07121557795501,0,47.214143318579104,15.947078474418788,59.310004397228724,1.08998,,,0.023085879005477684,0.06834982335567474,0.018377675251882622
nircam2,11316,F410M,2599.3152,5542.1743,0.030103922280358908,31.853855272606157,0,29.165587773391817,10.048366916688066,22.12115059268908,1.423085,,,0.04879329060867756,0.14162351191043854,0.06433141865913258
nircam2,11316,F444W,2599.3152,5542.1743,0.05493758242663302,72.79956427320609,0,68.09919764239878,23.50357071644074,26.839577750306137,2.597032,,,0.03813601466551023,0.11049521714448929,0.09676128380858666
nircam3,9992,F606W,578.233,3744.6199,-0.003434269786439598,-2.607932138168884,0,-3.0154866313578816,-1.5310279547024608,-0.09952078315414692,-0.03762761,,,0.012478121974978279,0.024576695635914803,0.37808796120222354
